,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-04-13,63575.0,91579.0,848.54,7623000.0,1754414000.0,0.0003,5822134925.0,4067720925.0,4067720925.0,4067720925.0,6468420420.0,0.4638490662767727,0.012013511740784468,False,False
2021-04-14,62959.53,91579.0,735.5,7623000.0,1754414000.0,0.0002,5765770797.87,4011356797.87,4011356797.87,4011356797.87,5606716500.0,0.334835716392138,0.012013511740784468,False,False
2021-04-15,63159.98,91579.0,740.15,7623000.0,1754414000.0,0.0002,5784127808.42,4029713808.42,4029713808.42,4029713808.42,5642163450.0,0.3365722242270106,0.012013511740784468,False,False
2021-04-16,61334.8,91579.0,693.62,7782000.0,1754414000.0,0.0002,5616979649.2,3862565649.2,3862565649.2,3862565649.2,5397750840.0,0.3346507170582133,0.011768054484708301,False,False
2021-04-17,60006.66,91579.0,693.62,7782000.0,1754414000.0,0.0002,5495349916.14,3740935916.1400003,3740935916.1400003,3740935916.1400003,5397750840.0,0.3666465306166583,0.011768054484708301,False,False
2021-04-18,56150.01,91579.0,693.62,7782000.0,1754414000.0,0.0002,5142161765.79,3387747765.79,3387747765.79,3387747765.79,5397750840.0,0.46581703097051896,0.011768054484708301,False,False
2021-04-19,55633.14,91579.0,637.52,7782000.0,1754414000.0,0.0002,5094827328.06,3340413328.0600004,3340413328.0600004,3340413328.0600004,4961180640.0,0.3955491944214536,0.011768054484708301,False,False
2021-04-20,56425.0,91579.0,646.45,7782000.0,1754414000.0,0.0003,5167345075.0,3412931075.0,3412931075.0,3412931075.0,5030673900.0,0.387982476403382,0.011768054484708301,False,False
2021-04-21,53787.63,91579.0,650.46,7782000.0,1754414000.0,0.0003,4925817367.7699995,3171403367.7699995,3171403367.7699995,3171403367.7699995,5061879720.0,0.46756370778968775,0.011768054484708301,False,False
2021-04-22,51690.96,91579.0,598.2,7782000.0,1754414000.0,0.0003,4733806425.84,2979392425.84,2979392425.84,2979392425.84,4655192400.0,0.4462638459922253,0.011768054484708301,False,False
2021-04-23,51125.14,91579.0,613.04,7782000.0,1754414000.0,0.0003,4681989196.06,2927575196.0600004,2927575196.0600004,2927575196.0600004,4770677280.0,0.4883137799817518,0.011768054484708301,False,False
2021-04-24,50047.84,91579.0,613.04,7782000.0,1754414000.0,0.0003,4583331139.36,2828917139.3599997,2828917139.3599997,2828917139.3599997,4770677280.0,0.5225942800797151,0.011768054484708301,False,False
2021-04-25,49066.77,91579.0,613.04,7782000.0,1754414000.0,0.0003,4493485729.83,2739071729.83,2739071729.83,2739071729.83,4770677280.0,0.554869203976484,0.011768054484708301,False,False
2021-04-26,54001.39,91579.0,658.82,7782000.0,1754414000.0,0.0003,4945393294.81,3190979294.8100004,3190979294.8100004,3190979294.8100004,5126937240.0,0.4741805929960545,0.011768054484708301,False,False
2021-04-27,55011.97,91579.0,676.99,7782000.0,1754414000.0,0.0001,5037941200.63,3283527200.63,3283527200.63,3283527200.63,5268336180.0,0.4727963866847562,0.011768054484708301,False,False
2021-04-28,54846.22,91579.0,680.82,7782000.0,1754414000.0,0.0001,5022761981.38,3268347981.38,3268347981.38,3268347981.38,5298141240.0,0.48307139683174016,0.011768054484708301,False,False
2021-04-29,53555.0,91579.0,655.01,7782000.0,1754414000.0,0.0001,4904513345.0,3150099345.0,3150099345.0,3150099345.0,5097287820.0,0.4812746078390425,0.011768054484708301,False,False
2021-04-30,57694.27,91579.0,657.16,7782000.0,1754414000.0,0.0001,5283583552.33,3529169552.33,3529169552.33,3529169552.33,5114019120.0,0.37092302664723886,0.011768054484708301,False,False
2021-05-01,57800.37,91579.0,657.16,7782000.0,1754414000.0,0.0001,5293300084.2300005,3538886084.2300005,3538886084.2300005,3538886084.2300005,5114019120.0,0.36817360346199657,0.011768054484708301,False,False
2021-05-02,56578.21,91579.0,657.16,7782000.0,1754414000.0,0.0001,5181375893.59,3426961893.59,3426961893.59,3426961893.59,5114019120.0,0.40031149225371604,0.011768054484708301,False,False
2021-05-03,57169.39,91579.0,635.62,7782000.0,1754414000.0,0.0004,5235515566.81,3481101566.8100004,3481101566.8100004,3481101566.8100004,4946394840.0,0.35131021019450026,0.011768054484708301,False,False
2021-05-04,53200.01,91579.0,616.88,7782000.0,1754414000.0,0.0002,4872003715.79,3117589715.79,3117589715.79,3117589715.79,4800560160.0,0.43167243482666906,0.011768054484708301,False,False
2021-05-05,57436.11,91579.0,623.45,7782000.0,1754414000.0,0.0002,5259941517.69,3505527517.6899996,3505527517.6899996,3505527517.6899996,4851687900.0,0.32498565152709874,0.011768054484708301,False,False
2021-05-06,56393.68,91579.0,609.08,7782000.0,1754414000.0,0.0002,5164476820.72,3410062820.7200003,3410062820.7200003,3410062820.7200003,4739860560.0,0.32927700392848935,0.011768054484708301,False,False
2021-05-07,57314.75,91579.0,620.46,7782000.0,1754414000.0,0.0002,5248827490.25,3494413490.25,3494413490.25,3494413490.25,4828419720.0,0.32335368635022393,0.011768054484708301,False,False
2021-05-08,58862.05,91579.0,620.46,7782000.0,1754414000.0,0.0002,5390527676.95,3636113676.95,3636113676.95,3636113676.95,4828419720.0,0.28360379389097007,0.011768054484708301,False,False
2021-05-09,58240.84,91579.0,620.46,7782000.0,1754414000.0,0.0002,5333637886.36,3579223886.3599997,3579223886.3599997,3579223886.3599997,4828419720.0,0.29937324861478604,0.011768054484708301,False,False
2021-05-10,55816.14,91579.0,569.46,7782000.0,1754414000.0,0.0002,5111586285.06,3357172285.0600004,3357172285.0600004,3357172285.0600004,4431537720.0,0.27764760113174647,0.011768054484708301,False,False
2021-05-11,56670.02,91579.0,576.96,7782000.0,1754414000.0,0.0001,5189783761.58,3435369761.58,3435369761.58,3435369761.58,4489902720.0,0.267706470421627,0.011768054484708301,False,False
2021-05-12,49631.32,91579.0,541.88,7782000.0,1754414000.0,0.0002,4545186654.28,2790772654.2799997,2790772654.2799997,2790772654.2799997,4216910160.0,0.41278417578154275,0.011768054484708301,False,False
2021-05-13,49670.97,91850.0,488.08,7782000.0,1754414000.0,0.0002,4562278594.5,2807864594.5,2807864594.5,2807864594.5,3798238560.0,0.3021131587548517,0.011802878437419687,False,False
2021-05-14,49841.45,91850.0,521.31,7782000.0,1754414000.0,0.0001,4577937182.5,2823523182.5,2823523182.5,2823523182.5,4056834419.9999995,0.36241750933117284,0.011802878437419687,False,False
2021-05-15,46762.99,91850.0,521.31,7782000.0,1754414000.0,0.0001,4295180631.5,2540766631.5,2540766631.5,2540766631.5,4056834419.9999995,0.46793711106638225,0.011802878437419687,False,False
2021-05-16,46431.5,91850.0,521.31,7782000.0,1754414000.0,0.0001,4264733275.0,2510319275.0,2510319275.0,2510319275.0,4056834419.9999995,0.47999302373297176,0.011802878437419687,False,False
2021-05-17,43538.04,91850.0,489.35,7782000.0,1754414000.0,0.0002,3998968974.0,2244554974.0,2244554974.0,2244554974.0,3808121700.0,0.5286288037520661,0.011802878437419687,False,False
2021-05-18,42849.78,92079.0,487.2,7782000.0,1754414000.0,0.0002,3945564892.62,2191150892.62,2191150892.62,2191150892.62,3791390400.0,0.548305884441403,0.01183230531996916,False,False
